year,month,season,region
1974,2,Winter,Unknown
1974,3,Spring,South
1974,4,Spring,Unknown
1974,5,Spring,South
1974,6,Summer,South
1974,7,Summer,South
1974,8,Summer,South
1974,9,Autumn,South
1974,10,Autumn,Unknown
1974,11,Autumn,Unknown
1974,12,Winter,Unknown
1975,1,Winter,Unknown
1975,2,Winter,Unknown
1975,3,Spring,Unknown
1975,4,Spring,Unknown
1975,5,Spring,Unknown
1975,6,Summer,Unknown
1975,7,Summer,South
1975,8,Summer,South
1975,9,Autumn,South
1975,10,Autumn,South
1975,11,Autumn,South
1975,12,Winter,Unknown
1976,1,Winter,Unknown
1976,2,Winter,Unknown
1976,3,Spring,Unknown
1976,4,Spring,South
1976,5,Spring,South
1976,6,Summer,South
1976,7,Summer,South
1976,8,Summer,South
1976,9,Autumn,South
1976,10,Autumn,Unknown
1976,11,Autumn,South
1976,12,Winter,Unknown
1977,1,Winter,Unknown
1977,2,Winter,Unknown
1977,3,Spring,Unknown
1977,4,Spring,Unknown
1977,5,Spring,South
1977,6,Summer,South
1977,7,Summer,South
1977,8,Summer,South
1977,9,Autumn,South
1977,10,Autumn,South
1977,11,Autumn,South
1977,12,Winter,Unknown
1978,1,Winter,Unknown
1978,2,Winter,Unknown
1978,3,Spring,Unknown
1978,4,Spring,South
1978,5,Spring,Unknown
1978,6,Summer,South
1978,7,Summer,South
1978,8,Summer,South
1978,9,Autumn,South
1978,10,Autumn,South
1978,11,Autumn,South
1978,12,Winter,Unknown
1979,1,Winter,Unknown
1979,2,Winter,Unknown
1979,3,Spring,Unknown
1979,4,Spring,Unknown
1979,5,Spring,South
1979,6,Summer,Unknown
1979,7,Summer,South
1979,8,Summer,South
1979,9,Autumn,South
1979,10,Autumn,South
1979,11,Autumn,Unknown
1979,12,Winter,South
1980,1,Winter,Unknown
1980,2,Winter,Unknown
1980,3,Spring,Unknown
1980,4,Spring,Unknown
1980,5,Spring,South
1980,6,Summer,Unknown
1980,7,Summer,Central
1980,8,Summer,Central
1980,9,Autumn,South
1980,10,Autumn,South
1980,11,Autumn,South
1980,12,Winter,Unknown
1981,1,Winter,Unknown
1981,2,Winter,Unknown
1981,3,Spring,Unknown
1981,4,Spring,South
1981,5,Spring,Unknown
1981,6,Summer,South
1981,7,Summer,South
1981,8,Summer,South
1981,9,Autumn,South
1981,10,Autumn,South
1981,11,Autumn,South
1981,12,Winter,Unknown
1982,1,Winter,Unknown
1982,2,Winter,Unknown
1982,3,Spring,Unknown
1982,4,Spring,Unknown
1982,5,Spring,South
1982,6,Summer,South
1982,7,Summer,South
1982,8,Summer,South
1982,9,Autumn,South
1982,10,Autumn,South
1982,11,Autumn,Unknown
1982,12,Winter,Unknown
1983,1,Winter,Unknown
1983,2,Winter,Unknown
1983,3,Spring,Unknown
1983,4,Spring,Unknown
1983,5,Spring,Unknown
1983,6,Summer,Unknown
1983,7,Summer,Unknown
1983,8,Summer,South
1983,9,Autumn,South
1983,10,Autumn,South
1983,11,Autumn,South
1983,12,Winter,Unknown
1984,1,Winter,Unknown
1984,2,Winter,Unknown
1984,3,Spring,Unknown
1984,4,Spring,Unknown
1984,5,Spring,Unknown
1984,6,Summer,Unknown
1984,7,Summer,South
1984,8,Summer,South
1984,9,Autumn,South
1984,10,Autumn,South
1984,11,Autumn,South
1984,12,Winter,South
1985,1,Winter,Unknown
1985,2,Winter,Unknown
1985,3,Spring,Unknown
1985,4,Spring,South
1985,5,Spring,South
1985,6,Summer,South
1985,7,Summer,South
1985,8,Summer,South
1985,9,Autumn,South
1985,10,Autumn,South
1985,11,Autumn,Unknown
1985,12,Winter,Unknown
1986,1,Winter,Unknown
1986,2,Winter,Unknown
1986,3,Spring,Unknown
1986,4,Spring,Unknown
1986,5,Spring,South
1986,6,Summer,South
1986,7,Summer,South
1986,8,Summer,South
1986,9,Autumn,South
1986,10,Autumn,South
1986,11,Autumn,South
1986,12,Winter,South
1987,1,Winter,Unknown
1987,2,Winter,Unknown
1987,3,Spring,Unknown
1987,4,Spring,Unknown
1987,5,Spring,Unknown
1987,6,Summer,South
1987,7,Summer,South
1987,8,Summer,South
1987,9,Autumn,South
1987,10,Autumn,South
1987,11,Autumn,Unknown
1987,12,Winter,Unknown
1988,1,Winter,Unknown
1988,2,Winter,Unknown
1988,3,Spring,Unknown
1988,4,Spring,Unknown
1988,5,Spring,Unknown
1988,6,Summer,South
1988,7,Summer,South
1988,8,Summer,South
1988,9,Autumn,South
1988,10,Autumn,South
1988,11,Autumn,Unknown
1988,12,Winter,Unknown
1989,1,Winter,Unknown
1989,2,Winter,Unknown
1989,3,Spring,Unknown
1989,4,Spring,Unknown
1989,5,Spring,Unknown
1989,6,Summer,South
1989,7,Summer,South
1989,8,Summer,South
1989,9,Autumn,South
1989,10,Autumn,South
1989,11,Autumn,Unknown
1989,12,Winter,Unknown
1990,1,Winter,South
1990,2,Winter,Unknown
1990,3,Spring,Unknown
1990,4,Spring,Unknown
1990,5,Spring,South
1990,6,Summer,Central
1990,7,Summer,South
1990,8,Summer,South
1990,9,Autumn,South
1990,10,Autumn,South
1990,11,Autumn,South
1990,12,Winter,South
1991,1,Winter,Unknown
1991,2,Winter,Unknown
1991,3,Spring,Unknown
1991,4,Spring,Unknown
1991,5,Spring,South
1991,6,Summer,Unknown
1991,7,Summer,South
1991,8,Summer,South
1991,9,Autumn,South
1991,10,Autumn,South
1991,11,Autumn,South
1991,12,Winter,Unknown
1992,1,Winter,South
1992,2,Winter,Unknown
1992,3,Spring,Unknown
1992,4,Spring,Unknown
1992,5,Spring,Unknown
1992,6,Summer,South
1992,7,Summer,South
1992,8,Summer,South
1992,9,Autumn,South
1992,10,Autumn,South
1992,11,Autumn,South
1992,12,Winter,Unknown
1993,1,Winter,Unknown
1993,2,Winter,Unknown
1993,3,Spring,Unknown
1993,4,Spring,Unknown
1993,5,Spring,Unknown
1993,6,Summer,Unknown
1993,7,Summer,South
1993,8,Summer,South
1993,9,Autumn,South
1993,10,Autumn,South
1993,11,Autumn,South
1993,12,Winter,Unknown
1994,1,Winter,Unknown
1994,2,Winter,Unknown
1994,3,Spring,Unknown
1994,4,Spring,Unknown
1994,5,Spring,South
1994,6,Summer,South
1994,7,Summer,South
1994,8,Summer,South
1994,9,Autumn,South
1994,10,Autumn,South
1994,11,Autumn,South
1994,12,Winter,South
1995,1,Winter,Unknown
1995,2,Winter,Unknown
1995,3,Spring,Unknown
1995,4,Spring,Unknown
1995,5,Spring,Unknown
1995,6,Summer,South
1995,7,Summer,South
1995,8,Summer,South
1995,9,Autumn,South
1995,10,Autumn,South
1995,11,Autumn,South
1995,12,Winter,South
1996,1,Winter,Unknown
1996,2,Winter,Unknown
1996,3,Spring,Unknown
1996,4,Spring,Unknown
1996,5,Spring,South
1996,6,Summer,Unknown
1996,7,Summer,South
1996,8,Summer,South
1996,9,Autumn,South
1996,10,Autumn,South
1996,11,Autumn,South
1996,12,Winter,Unknown
1997,1,Winter,Unknown
1997,2,Winter,Unknown
1997,3,Spring,Unknown
1997,4,Spring,South
1997,5,Spring,South
1997,6,Summer,South
1997,7,Summer,South
1997,8,Summer,South
1997,9,Autumn,South
1997,10,Autumn,South
1997,11,Autumn,South
1997,12,Winter,Unknown
1998,1,Winter,Unknown
1998,2,Winter,Unknown
1998,3,Spring,Unknown
1998,4,Spring,Unknown
1998,5,Spring,Unknown
1998,6,Summer,Unknown
1998,7,Summer,South
1998,8,Summer,South
1998,9,Autumn,South
1998,10,Autumn,South
1998,11,Autumn,Unknown
1998,12,Winter,Unknown
1999,1,Winter,Unknown
1999,2,Winter,Unknown
1999,3,Spring,Unknown
1999,4,Spring,South
1999,5,Spring,Unknown
1999,6,Summer,Unknown
1999,7,Summer,South
1999,8,Summer,South
1999,9,Autumn,South
1999,10,Autumn,South
1999,11,Autumn,South
1999,12,Winter,Unknown
2000,1,Winter,Unknown
2000,2,Winter,Unknown
2000,3,Spring,Unknown
2000,4,Spring,Unknown
2000,5,Spring,South
2000,6,Summer,Unknown
2000,7,Summer,South
2000,8,Summer,South
2000,9,Autumn,South
2000,10,Autumn,South
2000,11,Autumn,South
2000,12,Winter,Unknown
2001,1,Winter,Unknown
2001,2,Winter,Unknown
2001,3,Spring,Unknown
2001,4,Spring,Unknown
2001,5,Spring,South
2001,6,Summer,South
2001,7,Summer,South
2001,8,Summer,South
2001,9,Autumn,South
2001,10,Autumn,South
2001,11,Autumn,Unknown
2001,12,Winter,South
2002,1,Winter,Unknown
2002,2,Winter,Unknown
2002,3,Spring,Unknown
2002,4,Spring,Unknown
2002,5,Spring,South
2002,6,Summer,South
2002,7,Summer,South
2002,8,Summer,South
2002,9,Autumn,South
2002,10,Autumn,South
2002,11,Autumn,South
2002,12,Winter,South
2003,1,Winter,Unknown
2003,2,Winter,Unknown
2003,3,Spring,Unknown
2003,4,Spring,South
2003,5,Spring,South
2003,6,Summer,South
2003,7,Summer,Unknown
2003,8,Summer,South
2003,9,Autumn,South
2003,10,Autumn,South
2003,11,Autumn,South
2003,12,Winter,Unknown
2004,1,Winter,Unknown
2004,2,Winter,Unknown
2004,3,Spring,Unknown
2004,4,Spring,South
2004,5,Spring,South
2004,6,Summer,South
2004,7,Summer,South
2004,8,Summer,South
2004,9,Autumn,South
2004,10,Autumn,South
2004,11,Autumn,Unknown
2004,12,Winter,South
2005,1,Winter,Unknown
2005,2,Winter,Unknown
2005,3,Spring,Unknown
2005,4,Spring,South
2005,5,Spring,Unknown
2005,6,Summer,South
2005,7,Summer,South
2005,8,Summer,South
2005,9,Autumn,South
2005,10,Autumn,South
2005,11,Autumn,Unknown
2005,12,Winter,Unknown
2006,1,Winter,Unknown
2006,2,Winter,Unknown
2006,3,Spring,Unknown
2006,4,Spring,Unknown
2006,5,Spring,South
2006,6,Summer,Unknown
2006,7,Summer,South
2006,8,Summer,South
2006,9,Autumn,South
2006,10,Autumn,South
2006,11,Autumn,Unknown
2006,12,Winter,Unknown
2007,1,Winter,Unknown
2007,2,Winter,Unknown
2007,3,Spring,Unknown
2007,4,Spring,South
2007,5,Spring,South
2007,6,Summer,Unknown
2007,7,Summer,South
2007,8,Summer,South
2007,9,Autumn,South
2007,10,Autumn,South
2007,11,Autumn,South
2007,12,Winter,Unknown
2008,1,Winter,Unknown
2008,2,Winter,Unknown
2008,3,Spring,Unknown
2008,4,Spring,Unknown
2008,5,Spring,South
2008,6,Summer,South
2008,7,Summer,Central
2008,8,Summer,South
2008,9,Autumn,South
2008,10,Autumn,South
2008,11,Autumn,South
2008,12,Winter,South
2009,1,Winter,Unknown
2009,2,Winter,Unknown
2009,3,Spring,Unknown
2009,4,Spring,Unknown
2009,5,Spring,South
2009,6,Summer,South
2009,7,Summer,Unknown
2009,8,Summer,South
2009,9,Autumn,South
2009,10,Autumn,South
2009,11,Autumn,Unknown
2009,12,Winter,South
2010,1,Winter,Unknown
2010,2,Winter,Unknown
2010,3,Spring,Unknown
2010,4,Spring,Unknown
2010,5,Spring,Unknown
2010,6,Summer,Unknown
2010,7,Summer,South
2010,8,Summer,South
2010,9,Autumn,South
2010,10,Autumn,South
2010,11,Autumn,Unknown
2010,12,Winter,Unknown
2011,1,Winter,Unknown
2011,2,Winter,Unknown
2011,3,Spring,Unknown
2011,4,Spring,Unknown
2011,5,Spring,South
2011,6,Summer,South
2011,7,Summer,South
2011,8,Summer,South
2011,9,Autumn,South
2011,10,Autumn,Unknown
2011,11,Autumn,Unknown
2011,12,Winter,Unknown
2012,1,Winter,Unknown
2012,2,Winter,Unknown
2012,3,Spring,Unknown
2012,4,Spring,Unknown
2012,5,Spring,South
2012,6,Summer,South
2012,7,Summer,South
2012,8,Summer,South
2012,9,Autumn,South
2012,10,Autumn,South
2012,11,Autumn,Unknown
2012,12,Winter,Unknown
2013,1,Winter,Unknown
2013,2,Winter,Unknown
2013,3,Spring,Unknown
2013,4,Spring,Unknown
2013,5,Spring,Unknown
2013,6,Summer,South
2013,7,Summer,Unknown
2013,8,Summer,South
2013,9,Autumn,South
2013,10,Autumn,South
2013,11,Autumn,Unknown
2013,12,Winter,Unknown
2014,1,Winter,Unknown
2014,2,Winter,Unknown
2014,3,Spring,Unknown
2014,4,Spring,Unknown
2014,5,Spring,South
2014,6,Summer,South
2014,7,Summer,South
2014,8,Summer,South
2014,9,Autumn,South
2014,10,Autumn,South
2014,11,Autumn,South
2014,12,Winter,Unknown
2015,1,Winter,Unknown
2015,2,Winter,Unknown
2015,3,Spring,Unknown
2015,4,Spring,Unknown
2015,5,Spring,South
2015,6,Summer,Unknown
2015,7,Summer,South
2015,8,Summer,South
2015,9,Autumn,South
2015,10,Autumn,South
2015,11,Autumn,South
2015,12,Winter,Unknown
2016,1,Winter,Unknown
2016,2,Winter,Unknown
2016,3,Spring,Unknown
2016,4,Spring,Unknown
2016,5,Spring,Unknown
2016,6,Summer,Unknown
2016,7,Summer,South
2016,8,Summer,South
2016,9,Autumn,South
2016,10,Autumn,South
2016,11,Autumn,South
2016,12,Winter,Unknown
2017,1,Winter,Unknown
2017,2,Winter,Unknown
2017,3,Spring,Unknown
2017,4,Spring,Unknown
2017,5,Spring,Unknown
2017,6,Summer,Unknown
2017,7,Summer,South
2017,8,Summer,North
2017,9,Autumn,South
2017,10,Autumn,South
2017,11,Autumn,Unknown
2017,12,Winter,Unknown
2018,1,Winter,Unknown
2018,2,Winter,Unknown
2018,3,Spring,Unknown
2018,4,Spring,Unknown
2018,5,Spring,Unknown
2018,6,Summer,South
2018,7,Summer,South
2018,8,Summer,South
2018,9,Autumn,South
2018,10,Autumn,South
2018,11,Autumn,South
2018,12,Winter,Unknown
2019,1,Winter,Unknown
2019,2,Winter,Unknown
2019,3,Spring,Unknown
2019,4,Spring,Unknown
2019,5,Spring,Unknown
2019,6,Summer,South
2019,7,Summer,South
2019,8,Summer,South
2019,9,Autumn,South
2019,10,Autumn,South
2019,11,Autumn,South
2019,12,Winter,Unknown
2020,1,Winter,Unknown
2020,2,Winter,Unknown
2020,3,Spring,Unknown
2020,4,Spring,Unknown
2020,5,Spring,South
2020,6,Summer,Unknown
2020,7,Summer,Unknown
2020,8,Summer,South
2020,9,Autumn,South
2020,10,Autumn,South
2020,11,Autumn,Unknown
2020,12,Winter,Unknown
2021,1,Winter,Unknown
2021,2,Winter,Unknown
2021,3,Spring,Unknown
2021,4,Spring,South
2021,5,Spring,Unknown
2021,6,Summer,South
2021,7,Summer,South
2021,8,Summer,South
2021,9,Autumn,South
2021,10,Autumn,South
2021,11,Autumn,Unknown
2021,12,Winter,South
2022,1,Winter,Unknown
2022,2,Winter,Unknown
2022,3,Spring,Unknown
2022,4,Spring,South
2022,5,Spring,Unknown
2022,6,Summer,Unknown
2022,7,Summer,South
2022,8,Summer,South
2022,9,Autumn,South
2022,10,Autumn,South
2022,11,Autumn,Unknown
2022,12,Winter,Unknown
2023,1,Winter,Unknown
2023,2,Winter,Unknown
2023,3,Spring,Unknown
2023,4,Spring,Unknown
2023,5,Spring,Unknown
2023,6,Summer,South
2023,7,Summer,South
2023,8,Summer,South
2023,9,Autumn,South
2023,10,Autumn,South
2023,11,Autumn,Unknown
2023,12,Winter,Unknown
2024,1,Winter,Unknown
2024,2,Winter,Unknown
2024,3,Spring,Unknown
2024,4,Spring,Unknown
2024,5,Spring,South
2024,6,Summer,South
2024,7,Summer,Unknown
2024,8,Summer,South
2024,9,Autumn,South
2024,10,Autumn,South
2024,11,Autumn,South
2024,12,Winter,Unknown
2025,1,Winter,Unknown
2025,2,Winter,Unknown
2025,3,Spring,Unknown
2025,4,Spring,Unknown
2025,5,Spring,Unknown
2025,6,Summer,South
2025,7,Summer,South
2025,8,Summer,Unknown
2025,9,Autumn,Unknown
2025,10,Autumn,Unknown
2025,11,Autumn,Unknown
2025,12,Winter,Unknown
